date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2023-05-12	4677		BUY	500						50000			
2023-05-15	5080		BUY	500						50000			
2023-05-16	5676		BUY	500						50000			
2023-05-17	6299.89		SELL	6299.89						50000			
2023-05-18	0		BUY	500						50000			
2023-05-19	528		BUY	500						50000			
2023-05-22	1030		BUY	500						50000			
2023-05-23	1513		BUY	500						50000			
2023-05-24	1898		BUY	500						50000			
2023-05-25	2593		BUY	500						50000			
2023-05-26	3186		BUY	500						50000			
2023-05-30	3918.92		SELL	3918.92						50000			
2023-05-31	0		BUY	500						50000			
2023-06-01	500		BUY	500					183.49	50000			
2023-06-02	1023		BUY	500						50000			
2023-06-05	1544		BUY	1000						50000			
2023-06-06	2558.36		BUY	500						50000			
2023-06-07	3045		BUY	500						50000			
2023-06-08	3411		BUY	500						50000			
2023-06-09	4053		BUY	500						50000			
2023-06-12	4599		BUY	500						50000			
2023-06-13	5357.65		SELL	5357.65						50000			
2023-06-14	0		BUY	500						50000			
2023-06-15	513		BUY	500						50000			
2023-06-16	1032		BUY	500						50000			
2023-06-20	1474		BUY	600						50000			
2023-06-21	2056		BUY	500						50000			
2023-06-22	2501		BUY	500						50000			
2023-06-23	3011		BUY	750						50000			
2023-06-26	3803		BUY	750						50000			
2023-06-27	4366		BUY	750						50000			
2023-06-28	5388		BUY	500			6.6			50000			
2023-06-29	5744		BUY	750						50000			
2023-06-30	6853.5		SELL	6853.5						50000			
2023-07-03	0		BUY	500					187.66	50000			
2023-07-05	505		BUY	500						50000			
2023-07-06	962		BUY	1000						50000			
2023-07-07	2011		BUY	500						50000			
2023-07-10	2439		BUY	750			0.01			50000			
2023-07-11	3255		BUY	500						50000			
2023-07-12	3886		BUY	500						50000			
2023-07-13	4552.15		SELL	4552.15						50000			
2023-07-14	0		BUY	250						50000			
2023-07-17	247		BUY	500						50000			
2023-07-18	747.93		BUY	500						50000			
2023-07-19	1306		BUY	250						50000			
2023-07-20	1522		BUY	250						50000			
2023-07-21	1676		BUY	500						50000			
2023-07-24	2141		BUY	500						50000			
2023-07-25	2708		BUY	500						50000			
2023-07-26	3198		BUY	500						50000			
2023-07-27	3802		BUY	250						50000			
2023-07-28	4063		BUY	250						50000			
2023-07-31	4372		BUY	250						50000			
2023-08-01	4565		BUY	250					173.29	50000			
2023-08-02	4591		BUY	500						50000			
2023-08-03	4956		BUY	500						50000			
2023-08-04	5595		BUY	500						50000			
2023-08-07	5879		BUY	500						50000			
2023-08-08	6261		BUY	500						50000			
2023-08-09	6781		BUY	500						50000			
2023-08-10	7496		BUY	500						50000			
2023-08-11	7508		BUY	500						50000			
2023-08-14	8215		BUY	500						50000			
2023-08-15	8538		BUY	500						50000			
2023-08-16	8965		BUY	500						50000			
2023-08-17	9134		BUY	500						50000			
2023-08-18	9168		BUY	500						50000			
2023-08-21	10014		BUY	500						50000			
2023-08-22	11078		BUY	500						50000			
2023-08-23	11300		BUY	500						50000			
2023-08-24	12697		BUY	500						50000			
2023-08-25	12020		BUY	500						50000			
2023-08-28	12876		BUY	500						50000			
2023-08-29	13792		BUY	500						50000			
2023-08-30	15045		BUY	250						50000			
2023-08-31	15682		BUY	250						50000			
2023-09-01	15655		BUY	250					159.94	50000			
2023-09-05	16119		BUY	250						50000			
2023-09-06	16100		BUY	250						50000			
2023-09-07	15726		BUY	500						50000			
2023-09-08	16371		BUY	500						50000			
2023-09-11	17000		BUY	250						50000			
2023-09-12	17535		BUY	250						50000			
2023-09-13	17589		BUY	250						50000			
2023-09-14	18242		BUY	250						50000			
2023-09-15	18048		BUY	250						50000			
2023-09-18	17769		BUY	500						50000			
2023-09-19	18052		BUY	500						50000			
2023-09-20	18573		BUY	500						50000			
2023-09-21	17603		BUY	500						50000			
2023-09-22	18110		BUY	500						50000			
2023-09-25	18044		BUY	500						50000			
2023-09-26	17977		BUY	500						50000			
2023-09-27	18552		BUY	500			65.19			50000			
2023-09-28	19326		BUY	500						50000			
2023-09-29	20826		BUY	500						50000			
2023-10-02	20672		BUY	500					124.91	50000			
2023-10-03	20673		BUY	500						50000			
2023-10-04	21814		BUY	500						50000			
2023-10-05	22383		BUY	500						50000			
2023-10-06	22750		BUY	500						50000			
2023-10-09	23705		BUY	500						50000			
2023-10-10	25843		BUY	500						50000			
2023-10-12	27065		BUY	250						50000			
2023-10-13	25985		BUY	500						50000			
2023-10-24	24523		BUY	500						50000			
2023-10-25	24079		BUY	500						50000			
2023-10-26	22896		BUY	500						50000			
2023-10-27	23698		BUY	500						50000			
2023-10-30	24282		BUY	500						50000			
2023-10-31	24944		BUY	500						50000			
2023-11-01	26298		BUY	500					87.36	50000			
2023-11-02	28975		BUY	500						50000			
2023-11-03	29917		BUY	500						50000			
2023-11-06	31433		BUY	500			0.01			50000			
2023-11-07	32568		BUY	500						50000			
2023-11-08	33355		BUY	500						50000			
2023-11-09	34125		BUY	250						50000			
2023-11-10	34200		BUY	500						50000			
2023-11-13	35871		BUY	250						50000			
2023-11-14	38384.72		SELL	38384.72						50000			
2023-11-15	0		BUY	500						50000			
2023-11-16	495		BUY	1000						50000			
2023-11-17	1491		BUY	1000						50000			
2023-11-20	2565		BUY	500						50000			
2023-11-21	3019		BUY	500						50000			
2023-11-22	3659		BUY	500						50000			
2023-11-23	4070		BUY	500						50000			
2023-11-27	4587		BUY	500						50000			
2023-11-28	5065		BUY	500						50000			
2023-11-29	5666		BUY	500						50000			
2023-11-30	5934		BUY	1000						50000			
2023-12-01	6939		BUY	1000					136.9	50000			
2023-12-04	7944		BUY	1000						50000			
2023-12-05	8713		BUY	1000						50000			
2023-12-06	10127		BUY	1000						50000			
2023-12-07	10953.96		BUY	1040.1400000000012						50000			
2023-12-08	12138		BUY	500						50000			
2023-12-11	13106.81		SELL	13106.81						50000			
2023-12-12	0		BUY	500						50000			
2023-12-13	513		BUY	500						50000			
2023-12-14	1046		BUY	500						50000			
2023-12-15	1557		BUY	500						50000			
2023-12-18	2068		BUY	500						50000			
2023-12-19	2609		BUY	500						50000			
2023-12-20	3097		BUY	500						50000			
2023-12-21	3530		BUY	500						50000			
2023-12-22	4115		BUY	500						50000			
2023-12-26	4645		BUY	500						50000			
2023-12-27	5193		BUY	500						50000			
2023-12-28	5716		BUY	500			13.7			50000			
2023-12-29	6179		BUY	500						50000			
2024-01-02	6231		BUY	1000					191.42	50000			
2024-01-04	7011		BUY	1000						50000			
2024-01-08	8231		BUY	1000						50000			
2024-01-09	9381		BUY	1000						50000			
2024-01-10	10707		BUY	500						50000			
2024-01-11	11065		BUY	500			0.01			50000			
2024-01-12	11928		BUY	500						50000			
2024-01-16	12361		BUY	500						50000			
2024-01-17	12421		BUY	1000						50000			
2024-01-18	13955		BUY	500						50000			
2024-01-19	15051.51		SELL	15051.51						50000			
2024-01-22	0		BUY	500						50000			
2024-01-23	499		BUY	1000						50000			
2024-01-24	1575		BUY	500						50000			
2024-01-25	2053		BUY	500						50000			
2024-01-26	2477		BUY	1000						50000			
2024-01-29	3534		BUY	500						50000			
2024-01-30	3949		BUY	1000						50000			
2024-01-31	4874		BUY	1000						50000			
2024-02-01	5865		BUY	1000					171.31	50000			
2024-02-02	7180		BUY	500						50000			
2024-02-05	7765		BUY	500						50000			
2024-02-06	8104		BUY	500						50000			
2024-02-07	8930.13		SELL	8930.13						50000			
2024-02-08	0		BUY	500						50000			
2024-02-09	512		BUY	500						50000			
2024-02-12	1026		BUY	500						50000			
2024-02-13	1438		BUY	1000						50000			
2024-02-14	2478		BUY	1000						50000			
2024-02-15	3531		BUY	500						50000			
2024-02-16	3977		BUY	1000						50000			
2024-02-19	4846		BUY	1000						50000			
2024-02-21	5646		BUY	1000						50000			
2024-02-22	7177		BUY	500						50000			
2024-02-23	7844		BUY	500						50000			
2024-02-26	8295		BUY	1000						50000			
2024-02-27	9135		BUY	1000						50000			
2024-02-28	10111		BUY	1000						50000			
2024-03-01	11577		BUY	1000					174.08	50000			
2024-03-04	12877		BUY	1000						50000			
2024-03-05	13067		BUY	1000						50000			
2024-03-06	14161		BUY	1000						50000			
2024-03-07	15730		BUY	1000			0.01			50000			
2024-03-08	17303		SELL	1000						50000			
2024-03-11	15185		BUY	1000						50000			
2024-03-12	16644		BUY	1000						50000			
2024-03-13	17434		BUY	1000						50000			
2024-03-14	18251		BUY	1000						50000			
2024-03-15	18700		BUY	1000						50000			
2024-03-18	20396		BUY	1000						50000			
2024-03-19	20608		BUY	1000						50000			
2024-03-20	22207		BUY	1000						50000			
2024-03-21	24642		BUY	1000						50000			
2024-03-22	25202		BUY	1000						50000			
2024-03-25	26122		BUY	1000						50000			
2024-03-26	27364		BUY	1000			80.06			50000			
2024-03-27	27582		BUY	1000						50000			
2024-03-28	29078		BUY	1000						50000			
2024-03-29	29843		BUY	1000						50000			
2024-04-01	31195		BUY	1000					124.35	50000			
2024-04-02	30816		BUY	1000						50000			
2024-04-03	32645		BUY	1000						50000			
2024-04-04	34215		BUY	1000						50000			
2024-04-05	34084		BUY	1000						50000			
2024-04-16	34138		BUY	5000						50000			
2024-04-17	37089		BUY	5000						60000			
2024-04-24	41000		BUY	2000						60000			
2024-04-30	41537		BUY	2000						60000			
2024-05-08	48015		BUY	1000					59.05	60000			
2024-05-15	52542		BUY	1000						60000			
2024-05-21	55577		BUY	1000						60000			
2024-05-29	57385		BUY	1000						60000			
2024-06-05	59702		BUY	1000					27.94	60000			
2024-06-12	66069.27		SELL	66069.27			0.01			60000			
2024-06-17	0		BUY	1000						44000			
2024-06-26	954		BUY	1000						44000			
2024-07-02	1956		BUY	1000			3.64		184.69	44000			
2024-07-09	3319		BUY	1000						44000			
2024-07-16	4236		BUY	1000						44000			
2024-07-23	4793		BUY	2000						44000			
2024-07-24	5982		BUY	2000						44000			
2024-07-30	7903		BUY	5000						44000			
2024-08-01	12847		BUY	1000					159.17	44000			
2024-08-02	12263		BUY	1000						44000			
2024-08-05	12554		BUY	1000						44000			
2024-08-06	13741		BUY	1000						44000			
2024-08-07	14576		BUY	5000			0.01			44000			
2024-08-12	21221		BUY	1000						44000			
2024-08-14	23845		BUY	5000						44000			
2024-08-20	32253		BUY	5000						44000			
2024-08-27	36377		BUY	5000						44000			
2024-09-05	36803		BUY	5000					55.47	45000			
2024-09-11	42968		BUY	1000			0.01			45500			
2024-09-18	45910		BUY	500						45500			
2024-09-26	51337		SELL	1000			161.58			50000			
2024-10-08	49528		BUY	1000					13.46	50000			
2024-10-14	53424.93		SELL	53424.93						50000			
2024-10-17	0		BUY	1000						15000			
2024-10-23	1000		BUY	1000						15000			
2024-10-28	2038		BUY	1000						15000			
2024-11-01	2872		BUY	2000					67.19	15000			
2024-11-06	5270		BUY	1000						15000			
2024-11-11	6751		BUY	1000						15000			
2024-11-13	7604		BUY	1000						15000			
2024-11-18	8028		BUY	1000						15000			
2024-11-25	9323.56		BUY	1000						15000			
2024-12-03	10898		BUY	1000					23.09	15000			
2024-12-09	12315		BUY	1000						15000			
2024-12-17	14368.17		SELL	14368.17						15000			
2024-12-18	0		BUY	2000						10000			
2024-12-23	1925		BUY	2000						15000			
2024-12-30	3831		BUY	2000			6.41			15000			
2025-01-06	6263		BUY	1000			0.01		35.29	15000			
2025-01-16	6770		BUY	2000						15000			
2025-01-21	9210		BUY	1000						15000			
2025-01-27	9567		BUY	2000						15000			
2025-02-03	11729		BUY	2000			0.01		11.82	15000			
2025-02-10	14625		BUY	1000						15000			
2025-02-13	15998.55		SELL	15998.55						12000			
2025-02-18	0		BUY	1000						12000			
2025-02-24	919		BUY	1000						12000			
2025-03-05	1609		BUY	1000					24.93	12000			
2025-03-07	2443		BUY	500						6000			
2025-03-18	2704		BUY	100						6000			
2025-03-26	2977		BUY	100						6000			
2025-04-02	2951		BUY	100			9.33		7.01	6000			
2025-04-03	2240		BUY	100						6000			
2025-04-07	2041		BUY	100			0.01			6000			
2025-04-08	2139		BUY	116.61						6000			
2025-04-14	2952		BUY	100						6000			
2025-04-21	2512		BUY	300						6000			
2025-04-25	3618.94		BUY	200						6000			
2025-04-29	3845		BUY	200						6000			
2025-05-05	4388		BUY	199.99					5.14	6000			
2025-05-13	5231		BUY	200						6000			
2025-05-16	5630.08		SELL	5630.08						6000			
2025-05-19	0		BUY	200						6000			
2025-05-27	203		BUY	200						10000			
2025-06-02	396		BUY	200					18.71	10000			
2025-06-09	637		BUY	200						10000			
2025-06-16	856		BUY	500						10000			
2025-06-23	1318		BUY	500						35000			
2025-06-30	2027		BUY	500			5.37			35000			
2025-07-07	2552		BUY	1000					86.88	35000			
2025-07-15	3676		BUY	1000						35000			
2025-07-21	4810		BUY	1000						25000			
2025-08-04	5617		BUY	1000					67.23	25000			
2025-08-12	7113		BUY	1000						25000			
2025-08-19	7982		BUY	1000						25000			
2025-08-25	8837		BUY	1000						25000			
2025-08-28	10227.73		SELL	10227.73						20000			
2025-09-02	0		BUY	1000					54.56	20000			
2025-09-08	1105		BUY	1000						20000			
2025-09-15	2217		BUY	1000						20000			
2025-09-17	3182		BUY	1000						5000			
2025-09-23	4387		BUY	1000						5000			
2025-09-29	5452.42		SELL	5452.42			5.14			6000			
2025-10-22	0		BUY	1000					30.17	2000			
2025-11-03	1138		BUY	1000					2.26	4000			
2025-11-18	1796		BUY	1000						4000			
2025-11-24	2877		BUY	1000						5000			
2025-12-01	4102		BUY	1000					1.84	5000			
2025-12-22	5135	0	BUY	1000						6000			Deposit: $1000
