date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2023-09-26	9117		BUY	200			32.21			15000			Withdrawal: $0.72
2023-09-27	9320		BUY	200						15000			Withdrawal: $0.69
2023-09-28	9562		BUY	200						15000			Withdrawal: $0.67
2023-09-29	9845		BUY	200						15000			Withdrawal: $0.64
2023-10-02	9942		BUY	200						15000			Withdrawal: $1.85
2023-10-03	10002		BUY	200						15000			Withdrawal: $0.59
2023-10-04	10249		BUY	200						15000			Withdrawal: $0.56
2023-10-05	10470		BUY	200						15000			Withdrawal: $0.54
2023-10-06	10657		BUY	200						15000			Withdrawal: $0.51
2023-10-09	10952		BUY	200						15000			Withdrawal: $1.45
2023-10-10	11363		BUY	200						15000			Withdrawal: $0.46
2023-10-12	11573		BUY	100						15000			Withdrawal: $0.87
2023-10-13	11656		BUY	100						15000			Withdrawal: $0.42
2023-10-23	11481		BUY	100						15000			Withdrawal: $4.06
2023-10-24	11496		BUY	100						15000			Withdrawal: $0.39
2023-10-25	11514		BUY	100						15000			Withdrawal: $0.38
2023-10-26	11473		BUY	100						15000			Withdrawal: $0.37
2023-10-27	11516		BUY	100						15000			Withdrawal: $0.35
2023-10-30	11632		BUY	100						15000			Withdrawal: $1.02
2023-10-31	11803		BUY	100						15000			Withdrawal: $0.33
2023-11-01	11986		BUY	100						15000			Withdrawal: $0.31
2023-11-02	12370		BUY	100						15000			Withdrawal: $0.30
2023-11-03	12607		BUY	100						15000			Withdrawal: $0.29
2023-11-06	12751		BUY	100						15000			Withdrawal: $0.83
2023-11-07	12870		BUY	100						15000			Withdrawal: $0.26
2023-11-08	12993		BUY	100						15000			Withdrawal: $0.25
2023-11-09	13089		BUY	100						15000			Withdrawal: $0.24
2023-11-10	13133		BUY	200						15000			Withdrawal: $0.22
2023-11-13	13456		BUY	100						15000			Withdrawal: $0.59
2023-11-14	13853		BUY	100						15000			Withdrawal: $0.18
2023-11-15	14078		BUY	100						15000			Withdrawal: $0.17
2023-11-16	14108		BUY	100						15000			Withdrawal: $0.16
2023-11-17	14217		BUY	100						15000			Withdrawal: $0.15
2023-11-20	14412		BUY	100						15000			Withdrawal: $0.40
2023-11-21	14505		BUY	100						15000			Withdrawal: $0.12
2023-11-22	14714		BUY	100						15000			Withdrawal: $0.11
2023-11-23	14793		BUY	100						15000			Withdrawal: $0.09
2023-11-27	14886		BUY	100						15000			Withdrawal: $0.32
2023-11-28	14989		BUY	100						15000			Withdrawal: $0.07
2023-11-29	15161		BUY	100						15000			Withdrawal: $0.05
2023-11-30	15204		BUY	100						15000			Withdrawal: $0.04
2023-12-01	15339		BUY	100						15000			Withdrawal: $0.03
2023-12-04	15519		BUY	100						15000			Withdrawal: $0.04
2023-12-05	15545		HOLD							15000			
2023-12-06	15679		HOLD							15000			
2023-12-07	15537		HOLD							15000			
2023-12-08	15668		HOLD							15000			
2023-12-11	15743		HOLD							15000			
2023-12-12	15809.34		SELL	15809.34						15000			
