date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2023-07-28	2023		BUY	200						10000			
2023-07-31	2246		BUY	200						10000			
2023-08-01	2433		BUY	200					32.17	10000			
2023-08-02	2551		BUY	400						10000			
2023-08-03	2868		BUY	400						10000			
2023-08-04	3342		BUY	400						10000			
2023-08-07	3667		BUY	400			0.01			10000			
2023-08-08	3991		BUY	400						10000			
2023-08-09	4472		BUY	400						10000			
2023-08-10	4959		BUY	400						10000			
2023-08-11	5121		BUY	400						10000			
2023-08-14	5626		BUY	400						10000			
2023-08-15	5882		BUY	400						10000			
2023-08-16	6222		BUY	400						10000			
2023-08-17	6521		BUY	400						10000			
2023-08-18	6627		BUY	400						10000			
2023-08-21	7223		BUY	400						10000			
2023-08-22	7793		BUY	400						10000			
2023-08-23	8005		BUY	400						10000			
2023-08-24	8782		BUY	400						10000			
2023-08-25	8783		BUY	200						10000			
2023-08-28	9186		BUY	200						10000			
2023-08-29	9500		BUY	200						10000			
2023-08-30	10119									10000			
2023-08-31	10221									10000			
2023-09-01	10124								12.92	10000			
2023-09-05	10128									10000			
2023-09-06	9922									10000			
2023-09-07	9710									10000			
2023-09-08	9777						0.01			10000			
2023-09-11	9867									10000			
2023-09-21	8982.63									10000			
2023-09-22	8971		BUY	200						15000			
2023-09-25	8945		BUY	200						15000			
2023-09-26	8897		BUY	200			21.4			15000			
2023-09-27	9086		BUY	200						15000			
2023-09-28	9404		BUY	200						15000			
2023-09-29	9820		BUY	200						15000			
2023-10-02	9695		BUY	200					5.64	15000			
2023-10-03	9584		BUY	200						15000			
2023-10-04	9933		BUY	200						15000			
2023-10-05	10160		BUY	200						15000			
2023-10-06	10335		BUY	200			0.01			15000			
2023-10-09	10787		BUY	200						15000			
2023-10-10	11573.98		BUY	200						15000			
2023-10-12	11861		BUY	200						15000			
2023-10-13	11722		BUY	100						15000			
2023-10-23	10966									15000			
2023-10-24	11028		BUY	100						15000			
2023-10-25	10895		BUY	100						15000			
2023-10-26	10579		BUY	100						15000			
2023-10-27	10534		BUY	100						15000			
2023-10-30	10654		BUY	100						15000			
2023-10-31	10940		BUY	100						15000			
2023-11-01	11380		BUY	100					8.94	15000			
2023-11-02	12197		BUY	100						15000			
2023-11-03	12588		BUY	100						15000			
2023-11-06	12868		BUY	100						15000			
2023-11-07	13024		BUY	100						15000			
2023-11-08	13228		BUY	100						15000			
2023-11-09	13317		BUY	100						15000			
2023-11-10	13249		BUY	100						15000			
2023-11-13	13752		BUY	100						15000			
2023-11-14	14693		BUY	100						25000			
2023-11-15	15047		BUY	100						25000			
2023-11-16	15017		BUY	100						25000			
2023-11-17	15101		BUY	100						30000			
2023-11-20	15494		BUY	100						30000			
2023-11-21	15584		BUY	100						30000			
2023-11-22	16034.62		SELL	16034.62						30000			
2023-11-23	0		BUY	100						30000			
2023-11-27	99.95		BUY	100						30000			
2023-11-28	199		BUY	100						30000			
2023-11-29	303		BUY	100						30000			
2023-11-30	397		BUY	100						30000			
2023-12-01	501		BUY	100					51.77	30000			
2023-12-04	604		BUY	100						30000			
2023-12-05	695		BUY	100						30000			
2023-12-06	814		BUY	100						30000			
2023-12-07	900		BUY	100						30000			
2023-12-08	1008		BUY	100						30000			
2023-12-11	1128		BUY	100						30000			
2023-12-12	1246		BUY	100						30000			
2023-12-13	1366		BUY	100						30000			
2023-12-14	1538		BUY	100						30000			
2023-12-15	1632		BUY	100						30000			
2023-12-18	1749		BUY	200						30000			
2023-12-19	1973		BUY	200						30000			
2023-12-20	2174		BUY	200						30000			
2023-12-21	2317		BUY	200						30000			
2023-12-22	2571		BUY	200						30000			
2023-12-26	2779		BUY	200						30000			
2023-12-27	2995		BUY	200						30000			
2023-12-28	3215		BUY	200						30000			
2023-12-29	3403		BUY	200			6.93			30000			
2024-01-02	3492		BUY	200					120.3	30000			
2024-01-04	3627		BUY	200						30000			
2024-01-08	3858		BUY	200						30000			
2024-01-09	4106		BUY	200						30000			
2024-01-10	4392		BUY	200						30000			
2024-01-11	4538		BUY	200						30000			
2024-01-12	4864.44		SELL	4864.44						30000			
2024-01-16	0		BUY	200						30000			
2024-01-17	195		BUY	400						30000			
2024-01-18	598		BUY	400						30000			
2024-01-19	1031.32		BUY	200						30000			
2024-01-22	1267		BUY	200						30000			
2024-01-23	1464		BUY	200						30000			
2024-01-24	1713		BUY	200						30000			
2024-01-25	1898		BUY	200						30000			
2024-01-26	2099		BUY	200						30000			
2024-01-29	2316		BUY	200						30000			
2024-01-30	2532		BUY	200						30000			
2024-01-31	2716		BUY	200						30000			
2024-02-01	2877		BUY	200					111.46	30000			
2024-02-02	3179		BUY	200						30000			
2024-02-05	3401.58		BUY	200						30000			
2024-02-06	3581		BUY	200						30000			
2024-02-07	3885.15		SELL	3885.15			0.01			30000			
2024-02-08	0		BUY	500						30000			
2024-02-09	505		BUY	500						30000			
2024-02-12	1022		BUY	500						30000			
2024-02-13	1447		BUY	1000						30000			
2024-02-14	2489		BUY	1000						30000			
2024-02-15	3572		BUY	500						40000			
2024-02-16	4059		BUY	500						40000			
2024-02-20	4463		BUY	1000						40000			
2024-02-21	5383		BUY	1000						40000			
2024-02-22	6752		BUY	500						40000			
2024-02-23	7449		BUY	500						40000			
2024-02-26	7856		BUY	500						40000			
2024-02-27	8220		BUY	500						50000			
2024-02-28	8757		BUY	500						50000			
2024-03-01	9477		BUY	500					126.41	50000			
2024-03-04	10095		BUY	500						50000			
2024-03-05	10950		BUY	500						50000			
2024-03-06	10677		SELL	500						50000			
2024-03-07	11949		BUY	1000			0.01			50000			
2024-03-08	12372		BUY	1000						50000			
2024-03-11	13818		BUY	1000						50000			
2024-03-12	14864		BUY	1000						50000			
2024-03-13	14864		BUY	1000						50000			
2024-03-14	15719		BUY	1000						50000			
2024-03-15	16392		BUY	1000						50000			
2024-03-18	17829		BUY	1000						50000			
2024-03-19	18437		BUY	1000						50000			
2024-03-20	19954		BUY	1000						50000			
2024-03-21	21882		BUY	1000						50000			
2024-03-22	22573		BUY	1000						50000			
2024-03-25	23455		BUY	1000						50000			
2024-03-26	24523		BUY	1000			57.84			50000			
2024-03-27	25281.44		BUY	1000						50000			
2024-03-28	26859		BUY	1000						50000			
2024-03-29	27788		BUY	1000						50000			
2024-04-01	28707		BUY	1000					140.06	50000			
2024-04-02	28792		BUY	1000						50000			
2024-04-03	30295		BUY	1000						50000			
2024-04-04	31748		BUY	1000						50000			
2024-04-05	31846		BUY	1000						50000			
2024-04-16	32008		BUY	5000						50000			
2024-04-17	34654		BUY	5000						50000			
2024-04-24	39863		BUY	2000						50000			
2024-04-30	40718		BUY	2000			0.01			50000			
2024-05-08	46306		BUY	1000					55.87	50000			
2024-05-15	50238		BUY	1000						50000			
2024-05-17	51818.54		SELL	51818.54						50000			
2024-05-21	0		BUY	1000						20000			
2024-05-29	976		BUY	1000						20000			
2024-06-05	2037		BUY	1000			0.01		66.64	20000			
2024-06-12	3213		BUY	1000						20000			
2024-06-17	4334		BUY	1000						20000			
2024-06-26	5243		BUY	1000						20000			
2024-07-02	6199		BUY	1000			12.06		58.73	20000			
2024-07-09	7715		BUY	1000						20000			
2024-07-16	9011		BUY	1000						20000			
2024-07-23	9599		BUY	1000						20000			
2024-07-30	9924		BUY	1000						20000			
2024-08-02	10026		BUY	1000					51.2	20000			
2024-08-05	10432		BUY	1000						20000			
2024-08-06	11639		BUY	1000						20000			
2024-08-07	12421		BUY	1000			0.01			20000			
2024-08-12	14243		BUY	1000						20000			
2024-08-14	16141		BUY	1000						20000			
2024-08-20	18580		BUY	1000						20000			
2024-08-27	19799		BUY	1000						20000			
2024-09-05	19656		BUY	1000					15.98	21000			
2024-09-11	20528		BUY	1000			0.01			21500			
2024-09-18	22760		BUY	500						21500			
2024-09-26	24594.76		SELL	24594.76			29.12			20000			
2024-09-30	0		BUY	1000			0.01			20000			
2024-10-08	999		BUY	1000					31.24	20000			
2024-10-15	2121		BUY	1000						20000			
2024-10-23	3063		BUY	1000						20000			
2024-10-28	4061		BUY	1000						20000			
2024-11-06	5190		BUY	1000			0.01		62	20000			
2024-11-11	6575		BUY	1000						20000			
2024-11-13	7464		BUY	1000						20000			
2024-11-18	8076		SELL	1000						20000			
2024-11-25	7403		BUY	1000						20000			
2024-12-03	8633		BUY	1000			0.01		38.43	20000			
2024-12-09	9656		BUY	1000						20000			
2024-12-17	10629		BUY	1000						20000			
2024-12-18	10617		BUY	1000						20000			
2024-12-23	11827		BUY	1000						25000			
2024-12-30	12658		BUY	1000			22.03			25000			
2025-01-06	14490		BUY	1000			0.01		35.75	25000			
2025-01-16	14932		BUY	1000						25000			
2025-01-21	16655		BUY	1000						25000			
2025-01-27	17173		BUY	1000						25000			
2025-02-03	18136		BUY	1000					23	23000			
2025-02-10	19735		BUY	1000						23000			
2025-02-14	21228.55		SELL	21228.55						12000			
2025-02-18	0		BUY	1000						12000			
2025-02-24	949		BUY	1000						12000			
2025-03-05	1725		BUY	1000					25.04	5000			
2025-03-07	2613		BUY	500						5000			
2025-03-18	2935		BUY	100						5000			
2025-03-26	3169		BUY	100						5000			
2025-04-02	3219		BUY	200			10.58		4.38	5000			
2025-04-03	2591		BUY	100						5000			
2025-04-07	2297		BUY	100			0.01			5000			
2025-04-08	2432		BUY	95.65						5000			
2025-04-14	3189		BUY	100						6000			
2025-04-21	2824		BUY	300						6000			
2025-04-25	3794		BUY	200						6000			
2025-04-29	4042		BUY	200						6000			
2025-05-05	4513		BUY	200					4.21	6000			
2025-05-13	5171		BUY	200						6000			
2025-05-19	5537		BUY	100						6000			
2025-05-27	5605		BUY	200						15000			
2025-06-02	5694		BUY	300					7.51	15000			
2025-06-09	6364		BUY	200						15000			
2025-06-16	6714		BUY	500						15000			
2025-06-23	7031		BUY	500						25000			
2025-06-30	8202.31		SELL	8202.31			27.3			30000			
2025-07-07	0		BUY	1000					55.6	30000			
2025-07-15	1006		BUY	1000						30000			
2025-07-21	2054		BUY	1000						20200			
2025-08-04	2981		BUY	1000					68.86	20200			
2025-08-12	4192		BUY	1000						20200			
2025-08-19	5261		BUY	1000						20200			
2025-08-25	6311		BUY	1000						20200			
2025-08-28	7447.9		SELL	7447.9						10000			
2025-09-02	0		BUY	1000					44.14	8000			
2025-09-08	1046		BUY	1000						8000			
2025-09-15	2147		BUY	1000						8000			
2025-09-17	3128		BUY	1000						8000			
2025-09-23	4227		BUY	1000						8000			
2025-09-29	5249		BUY	1000			5.72			8000			
2025-10-22	6244		BUY	1000					18.95	8000			
2025-11-03	7739		BUY	1000					1.13	8000			
2025-11-04	8479.17		SELL	8479.17						3000			
2025-11-10	0		BUY	1000						3000			
2025-11-18	929		BUY	1000						3000			
2025-11-24	1984		BUY	1000						5000			
2025-12-01	3143		BUY	1000					5.09	5000			
2025-12-22	4213		BUY	1000						6000			
2025-12-29	5258		BUY	1000			4			6000			
